threads,power,execution_time,mean_cycles,min_cycles,max_cycles
31,192.987,10.005967293,25563141064.419353,-112627327.41935349,3224069828.5806465
31,192.471,10.005162817,25454630832.129032,-5628655.129032135,13411223.870967865
31,191.787,10.005116756,25453556741.774193,-4347626.77419281,7843606.22580719
31,190.983,10.005186125,25454435574.612904,-4849961.612903595,10814650.387096405
31,190.461,10.005244991,25453893683.322582,-4699411.322582245,5669699.677417755
31,190.187,10.005032748,25467229787.29032,-17243531.29032135,398391450.70967865
31,189.846,10.005101188,25454319156.64516,-6071557.645160675,8622294.354839325
32,196.139,10.004846492,25461845318.78125,-14657414.78125,252541415.21875
32,195.438,10.005698189,25462433820.21875,-13181408.21875,237462120.78125
32,193.949,10.007265510,25461308556.84375,-11618677.84375,229212364.15625
32,193.916,10.005498951,25467837812.5,-19093892.5,210084992.5
32,193.99,10.005063999,25461079195.46875,-11705400.46875,214496990.53125
32,193.643,10.006107187,25460906293.78125,-12070661.78125,217131993.21875
32,193.379,10.004919623,25459494506.53125,-12024218.53125,213300514.46875
32,193.033,10.005121255,25470914852.125,-21996663.125,320940073.875
32,192.568,10.006642643,25466700666.8125,-16923351.8125,202172162.1875
32,192.534,10.005107087,25461749253.71875,-12629175.71875,194671687.28125
